t,rt,cond,sub,a,r,acc,s,block
42,NaN,2,110,1,1,1,2,1
43,NaN,2,110,1,1,1,2,1
44,633,2,110,2,1,1,1,1
45,533,2,110,2,0,1,3,1
46,NaN,2,110,1,1,1,2,1
47,563,2,110,2,0,1,1,1
48,480,2,110,2,1,1,3,1
49,425,2,110,2,1,1,3,1
50,587,2,110,2,1,1,1,1
51,NaN,2,110,1,1,1,2,1
52,428,2,110,2,1,1,1,1
53,550,2,110,2,1,1,3,1
54,NaN,2,110,1,0,1,2,1
55,NaN,2,110,1,1,1,2,1
56,479,2,110,2,1,1,3,1
57,763,2,110,2,1,1,1,1
58,NaN,2,110,1,1,1,2,1
59,874,2,110,2,1,1,1,1
60,480,2,110,2,1,1,3,1
61,523,2,110,2,1,1,1,1
62,NaN,2,110,1,1,1,2,1
63,446,2,110,2,1,1,3,1
64,NaN,2,110,1,0,1,2,1
65,426,2,110,2,1,1,3,1
66,691,2,110,2,0,1,1,1
67,NaN,2,110,1,1,1,2,1
68,687,2,110,2,1,1,1,1
69,448,2,110,2,1,1,3,1
70,NaN,2,110,1,1,1,2,1
71,647,2,110,2,1,1,1,1
72,718,2,110,2,1,1,3,1
73,1007,2,110,2,1,1,1,1
74,NaN,2,110,1,1,1,2,1
75,307,2,110,2,1,1,3,1
76,NaN,2,110,1,1,1,2,1
77,335,2,110,2,0,1,1,1
78,585,2,110,2,1,1,3,1
79,688,2,110,2,1,1,3,1
80,1470,2,110,2,1,1,1,1
81,NaN,2,110,1,1,1,2,1
82,497,2,110,2,0,1,1,1
83,NaN,2,110,1,1,1,2,1
84,380,2,110,2,1,1,3,1
85,951,2,110,2,1,1,3,1
86,NaN,2,110,1,1,1,2,1
87,621,2,110,2,0,1,1,1
88,620,2,110,2,1,1,3,1
89,NaN,2,110,1,0,1,2,1
90,638,2,110,2,1,1,1,1
91,819,2,110,2,1,1,1,1
92,NaN,2,110,1,1,1,2,1
93,428,2,110,2,1,1,3,1
94,570,2,110,2,0,1,3,1
95,600,2,110,2,0,0,2,1
96,747,2,110,2,1,1,1,1
97,725,2,110,2,1,1,3,1
98,NaN,2,110,1,0,1,2,1
99,561,2,110,2,1,1,1,1
100,503,2,110,2,1,1,1,1
101,NaN,2,110,1,0,1,2,1
102,641,2,110,2,1,1,3,1
103,NaN,2,110,1,0,1,2,1
104,654,2,110,2,1,1,1,1
105,NaN,2,110,1,0,0,3,1
106,NaN,2,110,1,0,1,2,1
107,517,2,110,2,1,1,1,1
108,561,2,110,2,1,1,3,1
109,916,2,110,2,0,1,1,1
110,NaN,2,110,1,1,1,2,1
111,577,2,110,2,1,1,3,1
112,680,2,110,2,0,1,1,1
113,1393,2,110,2,0,1,3,1
114,824,2,110,2,0,0,2,1
115,NaN,2,110,1,0,1,2,1
116,328,2,110,2,1,1,3,1
117,749,2,110,2,1,1,1,1
118,594,2,110,2,1,1,3,1
119,NaN,2,110,1,1,1,2,1
120,427,2,110,2,0,1,1,1
1,NaN,1,111,1,1,1,2,1
2,NaN,1,111,1,1,0,1,1
3,635,1,111,2,0,NaN,3,1
4,612,1,111,2,1,1,1,1
5,733,1,111,2,0,0,2,1
6,NaN,1,111,1,1,NaN,3,1
7,691,1,111,2,1,0,2,1
8,NaN,1,111,1,0,0,1,1
9,561,1,111,2,1,NaN,3,1
10,421,1,111,2,1,NaN,3,1
11,NaN,1,111,1,0,1,2,1
12,NaN,1,111,1,0,0,1,1
13,399,1,111,2,0,NaN,3,1
14,374,1,111,2,0,1,1,1
15,366,1,111,2,0,0,2,1
16,454,1,111,2,0,0,2,1
17,1613,1,111,2,1,1,1,1
18,357,1,111,2,0,NaN,3,1
19,NaN,1,111,1,1,NaN,3,1
20,531,1,111,2,0,0,2,1
21,334,1,111,2,0,1,1,1
22,NaN,1,111,1,0,0,1,1
23,595,1,111,2,0,NaN,3,1
24,701,1,111,2,0,0,2,1
25,NaN,1,111,1,0,1,2,1
26,499,1,111,2,1,1,1,1
27,326,1,111,2,0,NaN,3,1
28,309,1,111,2,0,NaN,3,1
29,NaN,1,111,1,1,1,2,1
30,675,1,111,2,1,1,1,1
31,NaN,1,111,1,0,0,1,1
32,419,1,111,2,0,0,2,1
33,999,1,111,2,0,NaN,3,1
34,NaN,1,111,1,1,NaN,3,1
35,433,1,111,2,1,1,1,1
36,NaN,1,111,1,1,1,2,1
37,595,1,111,2,0,1,1,1
38,NaN,1,111,1,1,NaN,3,1
39,426,1,111,2,0,0,2,1
40,781,1,111,2,1,1,1,1
41,1389,1,111,2,1,NaN,3,1
42,446,1,111,2,1,0,2,1
43,262,1,111,2,0,0,2,1
44,NaN,1,111,1,0,0,1,1
45,NaN,1,111,1,0,NaN,3,1
46,543,1,111,2,1,NaN,3,1
47,429,1,111,2,1,0,2,1
48,NaN,1,111,1,1,0,1,1
49,627,1,111,2,1,NaN,3,1
50,NaN,1,111,1,0,0,1,1
51,NaN,1,111,1,1,1,2,1
52,279,1,111,2,0,1,1,1
53,309,1,111,2,0,0,2,1
54,693,1,111,2,0,NaN,3,1
55,NaN,1,111,1,0,0,1,1
56,1138,1,111,2,0,0,2,1
57,1174,1,111,2,1,NaN,3,1
58,1349,1,111,2,1,1,1,1
59,222,1,111,2,0,0,2,1
60,NaN,1,111,1,1,NaN,3,1
61,1498,1,111,2,0,1,1,1
62,381,1,111,2,0,0,2,1
63,1053,1,111,2,1,NaN,3,1
64,NaN,1,111,1,1,NaN,3,1
65,411,1,111,2,0,0,2,1
66,NaN,1,111,1,1,0,1,1
67,323,1,111,2,1,1,1,1
68,270,1,111,2,0,0,2,1
69,230,1,111,2,0,NaN,3,1
70,NaN,1,111,1,1,1,2,1
71,356,1,111,2,1,1,1,1
72,261,1,111,2,0,NaN,3,1
73,NaN,1,111,1,1,1,2,1
74,587,1,111,2,1,1,1,1
75,558,1,111,2,1,NaN,3,1
76,NaN,1,111,1,0,0,1,1
77,NaN,1,111,1,1,1,2,1
78,NaN,1,111,1,1,NaN,3,1
79,269,1,111,2,0,0,2,1
80,277,1,111,2,1,1,1,1
81,NaN,1,111,1,1,NaN,3,1
82,627,1,111,2,0,0,2,1
83,NaN,1,111,1,1,NaN,3,1
84,370,1,111,2,1,1,1,1
85,398,1,111,2,1,0,2,1
86,NaN,1,111,1,0,NaN,3,1
87,290,1,111,2,1,1,1,1
88,237,1,111,2,0,0,2,1
89,NaN,1,111,1,1,0,1,1
90,298,1,111,2,1,NaN,3,1
91,622,1,111,2,0,0,2,1
92,NaN,1,111,1,0,0,1,1
93,450,1,111,2,0,NaN,3,1
94,518,1,111,2,1,0,2,1
95,397,1,111,2,1,1,1,1
96,NaN,1,111,1,1,NaN,3,1
97,603,1,111,2,0,0,2,1
98,NaN,1,111,1,1,NaN,3,1
99,345,1,111,2,1,1,1,1
100,750,1,111,2,0,NaN,3,1
101,NaN,1,111,1,0,0,1,1
102,634,1,111,2,0,0,2,1
103,838,1,111,2,1,NaN,3,1
104,998,1,111,2,0,0,2,1
105,NaN,1,111,1,0,0,1,1
106,298,1,111,2,0,1,1,1
107,1133,1,111,2,1,0,2,1
108,NaN,1,111,1,1,NaN,3,1
109,483,1,111,2,0,0,2,1
110,1341,1,111,2,0,NaN,3,1
111,NaN,1,111,1,0,0,1,1
112,1331,1,111,2,0,NaN,3,1
113,1381,1,111,2,0,0,2,1
114,1197,1,111,2,1,1,1,1
115,1062,1,111,2,0,NaN,3,1
116,1405,1,111,2,0,0,2,1
117,NaN,1,111,1,0,0,1,1
118,NaN,1,111,1,1,1,2,1
119,NaN,1,111,1,0,0,1,1
120,343,1,111,2,0,NaN,3,1
1,1442,1,112,2,1,1,1,1
2,NaN,1,112,1,0,1,2,1
3,NaN,1,112,1,1,NaN,3,1
4,NaN,1,112,1,0,1,2,1
5,1067,1,112,2,1,1,1,1
6,NaN,1,112,1,0,NaN,3,1
7,NaN,1,112,1,1,1,2,1
8,NaN,1,112,1,0,NaN,3,1
9,514,1,112,2,1,1,1,1
10,NaN,1,112,1,1,NaN,3,1
11,984,1,112,2,0,0,2,1
12,NaN,1,112,1,1,0,1,1
13,774,1,112,2,0,0,2,1
14,863,1,112,2,1,1,1,1
15,NaN,1,112,1,1,NaN,3,1
16,NaN,1,112,1,1,NaN,3,1
17,517,1,112,2,1,1,1,1
18,NaN,1,112,1,1,1,2,1
19,NaN,1,112,1,1,NaN,3,1
20,719,1,112,2,0,0,2,1
21,1510,1,112,2,1,1,1,1
22,420,1,112,2,1,1,1,1
23,NaN,1,112,1,1,1,2,1
24,NaN,1,112,1,0,NaN,3,1
25,NaN,1,112,1,0,NaN,3,1
26,NaN,1,112,1,1,1,2,1
27,427,1,112,2,1,1,1,1
28,NaN,1,112,1,0,NaN,3,1
29,414,1,112,2,1,1,1,1
30,NaN,1,112,1,1,1,2,1
31,493,1,112,2,0,1,1,1
32,NaN,1,112,1,0,1,2,1
33,NaN,1,112,1,1,NaN,3,1
34,NaN,1,112,1,0,1,2,1
35,492,1,112,2,1,1,1,1
36,NaN,1,112,1,1,NaN,3,1
37,1241,1,112,2,0,0,2,1
38,NaN,1,112,1,0,NaN,3,1
39,315,1,112,2,0,1,1,1
40,NaN,1,112,1,0,NaN,3,1
41,NaN,1,112,1,0,1,2,1
42,579,1,112,2,1,1,1,1
43,550,1,112,2,0,1,1,1
44,NaN,1,112,1,1,NaN,3,1
45,NaN,1,112,1,0,1,2,1
46,801,1,112,2,0,0,2,1
47,NaN,1,112,1,0,NaN,3,1
48,960,1,112,2,1,1,1,1
49,NaN,1,112,1,1,1,2,1
50,1499,1,112,2,1,1,1,1
51,NaN,1,112,1,1,NaN,3,1
52,NaN,1,112,1,1,NaN,3,1
53,NaN,1,112,1,0,1,2,1
54,1571,1,112,2,1,1,1,1
55,NaN,1,112,1,1,0,1,1
56,NaN,1,112,1,0,NaN,3,1
57,NaN,1,112,1,1,1,2,1
58,515,1,112,2,0,1,1,1
59,NaN,1,112,1,1,NaN,3,1
60,NaN,1,112,1,1,1,2,1
61,NaN,1,112,1,1,1,2,1
62,1373,1,112,2,1,1,1,1
63,NaN,1,112,1,0,NaN,3,1
64,NaN,1,112,1,1,1,2,1
65,NaN,1,112,1,0,0,1,1
66,NaN,1,112,1,1,NaN,3,1
67,NaN,1,112,1,1,1,2,1
68,615,1,112,2,1,1,1,1
69,NaN,1,112,1,0,NaN,3,1
70,487,1,112,2,1,1,1,1
71,NaN,1,112,1,1,NaN,3,1
72,NaN,1,112,1,1,1,2,1
73,NaN,1,112,1,1,NaN,3,1
74,521,1,112,2,1,1,1,1
75,NaN,1,112,1,0,1,2,1
76,NaN,1,112,1,1,1,2,1
77,NaN,1,112,1,0,NaN,3,1
78,732,1,112,2,0,1,1,1
79,NaN,1,112,1,1,1,2,1
80,NaN,1,112,1,1,NaN,3,1
81,590,1,112,2,1,1,1,1
82,651,1,112,2,1,1,1,1
83,NaN,1,112,1,0,NaN,3,1
84,NaN,1,112,1,1,1,2,1
85,NaN,1,112,1,1,1,2,1
86,NaN,1,112,1,1,NaN,3,1
87,570,1,112,2,1,1,1,1
88,NaN,1,112,1,0,NaN,3,1
89,NaN,1,112,1,1,1,2,1
90,458,1,112,2,1,1,1,1
91,NaN,1,112,1,1,NaN,3,1
92,501,1,112,2,1,1,1,1
93,NaN,1,112,1,0,1,2,1
94,NaN,1,112,1,1,1,2,1
95,NaN,1,112,1,1,NaN,3,1
96,631,1,112,2,1,1,1,1
97,645,1,112,2,1,1,1,1
98,605,1,112,2,0,NaN,3,1
99,NaN,1,112,1,1,1,2,1
100,NaN,1,112,1,1,NaN,3,1
101,NaN,1,112,1,1,1,2,1
102,428,1,112,2,0,1,1,1
103,NaN,1,112,1,0,1,2,1
104,463,1,112,2,1,1,1,1
105,NaN,1,112,1,0,NaN,3,1
106,NaN,1,112,1,1,1,2,1
107,531,1,112,2,1,1,1,1
108,NaN,1,112,1,0,NaN,3,1
109,NaN,1,112,1,1,1,2,1
110,NaN,1,112,1,1,NaN,3,1
111,546,1,112,2,1,1,1,1
112,NaN,1,112,1,1,1,2,1
113,NaN,1,112,1,0,NaN,3,1
114,642,1,112,2,1,1,1,1
115,NaN,1,112,1,1,NaN,3,1
116,794,1,112,2,1,1,1,1
117,NaN,1,112,1,0,1,2,1
118,948,1,112,2,1,NaN,3,1
119,645,1,112,2,1,1,1,1
120,695,1,112,2,1,0,2,1
1,706,1,113,2,0,0,2,1
2,336,1,113,2,0,1,1,1
3,410,1,113,2,0,NaN,3,1
4,358,1,113,2,0,0,2,1
5,449,1,113,2,1,NaN,3,1
6,464,1,113,2,1,1,1,1
7,613,1,113,2,1,NaN,3,1
8,432,1,113,2,1,1,1,1
9,NaN,1,113,1,1,1,2,1
10,585,1,113,2,1,1,1,1
11,535,1,113,2,0,0,2,1
12,466,1,113,2,0,NaN,3,1
13,419,1,113,2,1,0,2,1
14,477,1,113,2,1,1,1,1
15,393,1,113,2,1,NaN,3,1
16,400,1,113,2,0,NaN,3,1
17,372,1,113,2,1,0,2,1
18,534,1,113,2,1,1,1,1
19,381,1,113,2,0,NaN,3,1
20,451,1,113,2,1,1,1,1
21,411,1,113,2,0,0,2,1
22,398,1,113,2,0,0,2,1
23,464,1,113,2,1,NaN,3,1
24,415,1,113,2,1,1,1,1
25,472,1,113,2,1,1,1,1
26,416,1,113,2,0,NaN,3,1
27,417,1,113,2,0,0,2,1
28,413,1,113,2,0,1,1,1
29,399,1,113,2,0,NaN,3,1
30,380,1,113,2,0,0,2,1
31,324,1,113,2,1,0,2,1
32,376,1,113,2,1,NaN,3,1
33,453,1,113,2,1,1,1,1
34,483,1,113,2,1,NaN,3,1
35,NaN,1,113,1,1,1,2,1
36,537,1,113,2,1,1,1,1
37,571,1,113,2,1,NaN,3,1
38,481,1,113,2,1,1,1,1
39,561,1,113,2,1,0,2,1
40,433,1,113,2,1,1,1,1
41,429,1,113,2,1,0,2,1
42,364,1,113,2,0,NaN,3,1
43,591,1,113,2,0,NaN,3,1
44,448,1,113,2,0,1,1,1
45,NaN,1,113,1,1,1,2,1
46,401,1,113,2,0,0,2,1
47,557,1,113,2,0,NaN,3,1
48,414,1,113,2,1,1,1,1
49,437,1,113,2,0,NaN,3,1
50,562,1,113,2,1,1,1,1
51,502,1,113,2,1,0,2,1
52,582,1,113,2,1,NaN,3,1
53,496,1,113,2,1,1,1,1
54,388,1,113,2,1,0,2,1
55,312,1,113,2,0,0,2,1
56,576,1,113,2,1,NaN,3,1
57,410,1,113,2,1,1,1,1
58,383,1,113,2,0,NaN,3,1
59,541,1,113,2,1,1,1,1
60,479,1,113,2,0,0,2,1
61,569,1,113,2,0,NaN,3,1
62,513,1,113,2,1,1,1,1
63,414,1,113,2,0,0,2,1
64,705,1,113,2,0,0,2,1
65,358,1,113,2,1,NaN,3,1
66,426,1,113,2,1,1,1,1
67,308,1,113,2,1,0,2,1
68,466,1,113,2,0,1,1,1
69,NaN,1,113,1,1,NaN,3,1
70,467,1,113,2,1,1,1,1
71,515,1,113,2,1,NaN,3,1
72,394,1,113,2,0,0,2,1
73,415,1,113,2,0,NaN,3,1
74,497,1,113,2,0,0,2,1
75,438,1,113,2,1,1,1,1
76,404,1,113,2,1,1,1,1
77,NaN,1,113,1,1,1,2,1
78,573,1,113,2,0,NaN,3,1
79,400,1,113,2,1,1,1,1
80,667,1,113,2,1,0,2,1
81,467,1,113,2,1,NaN,3,1
82,421,1,113,2,1,NaN,3,1
83,955,1,113,2,0,0,2,1
84,708,1,113,2,1,1,1,1
85,1408,1,113,2,0,0,2,1
86,715,1,113,2,0,1,1,1
87,497,1,113,2,1,NaN,3,1
88,464,1,113,2,0,1,1,1
89,321,1,113,2,0,0,2,1
90,546,1,113,2,0,NaN,3,1
91,434,1,113,2,1,1,1,1
92,549,1,113,2,1,NaN,3,1
93,497,1,113,2,0,0,2,1
94,525,1,113,2,1,1,1,1
95,NaN,1,113,1,1,1,2,1
96,544,1,113,2,0,NaN,3,1
97,384,1,113,2,1,1,1,1
98,417,1,113,2,1,NaN,3,1
99,853,1,113,2,0,0,2,1
100,NaN,1,113,1,1,1,2,1
101,517,1,113,2,0,NaN,3,1
102,441,1,113,2,1,1,1,1
103,NaN,1,113,1,1,1,2,1
104,602,1,113,2,1,1,1,1
105,528,1,113,2,0,NaN,3,1
106,NaN,1,113,1,1,NaN,3,1
107,483,1,113,2,0,1,1,1
108,NaN,1,113,1,0,1,2,1
109,447,1,113,2,1,NaN,3,1
110,633,1,113,2,1,1,1,1
111,NaN,1,113,1,0,1,2,1
112,570,1,113,2,1,1,1,1
113,NaN,1,113,1,1,1,2,1
114,897,1,113,2,0,NaN,3,1
115,NaN,1,113,1,0,1,2,1
116,NaN,1,113,1,0,NaN,3,1
117,438,1,113,2,1,1,1,1
118,NaN,1,113,1,0,1,2,1
119,NaN,1,113,1,0,NaN,3,1
120,501,1,113,2,1,1,1,1
1,1735,2,114,2,0,0,2,1
2,931,2,114,2,1,1,3,1
3,813,2,114,2,1,1,1,1
4,636,2,114,2,1,1,3,1
5,405,2,114,2,1,1,1,1
6,NaN,2,114,1,1,1,2,1
7,525,2,114,2,1,1,3,1
8,544,2,114,2,1,1,1,1
9,540,2,114,2,0,0,2,1
10,NaN,2,114,1,1,1,2,1
11,565,2,114,2,1,1,3,1
12,436,2,114,2,1,1,1,1
13,1227,2,114,2,1,1,3,1
14,612,2,114,2,1,1,1,1
15,NaN,2,114,1,1,1,2,1
16,652,2,114,2,0,1,1,1
17,667,2,114,2,1,1,3,1
18,973,2,114,2,0,0,2,1
19,436,2,114,2,1,1,3,1
20,804,2,114,2,0,0,2,1
21,673,2,114,2,0,1,1,1
22,NaN,2,114,1,0,0,1,1
23,NaN,2,114,1,1,1,2,1
24,358,2,114,2,1,1,3,1
25,NaN,2,114,1,0,0,1,1
26,NaN,2,114,1,1,1,2,1
27,512,2,114,2,0,1,3,1
28,820,2,114,2,1,1,3,1
29,NaN,2,114,1,0,0,1,1
30,401,2,114,2,1,0,2,1
31,676,2,114,2,1,1,3,1
32,413,2,114,2,1,0,2,1
33,NaN,2,114,1,0,0,1,1
34,NaN,2,114,1,0,0,1,1
35,747,2,114,2,1,0,2,1
36,700,2,114,2,0,1,3,1
37,NaN,2,114,1,0,0,1,1
38,889,2,114,2,0,0,2,1
39,404,2,114,2,1,1,3,1
40,NaN,2,114,1,0,0,1,1
41,1276,2,114,2,0,0,2,1
42,868,2,114,2,1,1,3,1
43,581,2,114,2,1,1,3,1
44,NaN,2,114,1,1,1,2,1
45,NaN,2,114,1,0,0,1,1
46,391,2,114,2,1,1,3,1
47,788,2,114,2,0,0,2,1
48,NaN,2,114,1,0,0,1,1
49,NaN,2,114,1,0,0,1,1
50,494,2,114,2,1,1,3,1
51,964,2,114,2,0,0,2,1
52,NaN,2,114,1,0,0,1,1
53,NaN,2,114,1,1,1,2,1
54,561,2,114,2,1,1,3,1
55,1259,2,114,2,0,0,2,1
56,722,2,114,2,0,1,3,1
57,NaN,2,114,1,0,0,1,1
58,NaN,2,114,1,0,0,1,1
59,440,2,114,2,1,1,3,1
60,NaN,2,114,1,1,1,2,1
61,NaN,2,114,1,0,1,2,1
62,440,2,114,2,1,1,3,1
63,NaN,2,114,1,0,0,1,1
64,NaN,2,114,1,1,1,2,1
65,470,2,114,2,1,1,3,1
66,NaN,2,114,1,0,0,1,1
67,559,2,114,2,1,1,3,1
68,652,2,114,2,0,0,2,1
69,NaN,2,114,1,1,0,1,1
70,424,2,114,2,1,1,3,1
71,NaN,2,114,1,1,1,2,1
72,NaN,2,114,1,0,0,1,1
73,NaN,2,114,1,1,0,1,1
74,425,2,114,2,0,1,3,1
75,NaN,2,114,1,1,1,2,1
76,NaN,2,114,1,0,0,1,1
77,459,2,114,2,0,1,3,1
78,377,2,114,2,1,0,2,1
79,509,2,114,2,0,0,2,1
80,419,2,114,2,1,1,1,1
81,484,2,114,2,1,1,3,1
82,1237,2,114,2,1,1,1,1
83,637,2,114,2,1,0,2,1
84,778,2,114,2,1,1,3,1
85,460,2,114,2,0,1,3,1
86,428,2,114,2,1,1,1,1
87,563,2,114,2,0,0,2,1
88,610,2,114,2,1,1,1,1
89,NaN,2,114,1,1,1,2,1
90,623,2,114,2,1,1,3,1
91,650,2,114,2,1,1,1,1
92,NaN,2,114,1,1,1,2,1
93,371,2,114,2,1,1,3,1
94,972,2,114,2,1,1,3,1
95,884,2,114,2,1,1,1,1
96,NaN,2,114,1,1,1,2,1
97,510,2,114,2,1,1,3,1
98,828,2,114,2,1,1,1,1
99,NaN,2,114,1,0,1,2,1
100,559,2,114,2,1,1,1,1
101,NaN,2,114,1,1,1,2,1
102,542,2,114,2,0,1,3,1
103,757,2,114,2,1,1,1,1
104,NaN,2,114,1,1,1,2,1
105,469,2,114,2,1,1,3,1
106,660,2,114,2,1,1,1,1
107,1092,2,114,2,1,1,3,1
108,NaN,2,114,1,1,1,2,1
109,583,2,114,2,0,1,1,1
110,474,2,114,2,1,1,3,1
111,1275,2,114,2,0,0,2,1
112,NaN,2,114,1,1,1,2,1
113,759,2,114,2,0,1,3,1
114,874,2,114,2,1,1,1,1
115,NaN,2,114,1,1,1,2,1
116,519,2,114,2,1,1,3,1
117,1042,2,114,2,1,1,1,1
118,946,2,114,2,1,1,1,1
119,795,2,114,2,1,1,3,1
120,NaN,2,114,1,0,1,2,1
1,NaN,2,115,1,0,0,3,1
2,NaN,2,115,1,0,1,2,1
3,NaN,2,115,1,1,0,1,1
4,NaN,2,115,1,0,0,1,1
5,NaN,2,115,1,0,1,2,1
6,1486,2,115,2,1,1,3,1
7,1587,2,115,2,1,1,3,1
8,NaN,2,115,1,1,1,2,1
9,NaN,2,115,1,1,0,1,1
10,699,2,115,2,1,1,3,1
11,NaN,2,115,1,0,0,1,1
12,NaN,2,115,1,1,1,2,1
13,450,2,115,2,1,1,3,1
14,NaN,2,115,1,1,1,2,1
15,NaN,2,115,1,0,0,1,1
16,648,2,115,2,1,1,3,1
17,NaN,2,115,1,1,0,1,1
18,NaN,2,115,1,1,1,2,1
19,389,2,115,2,1,1,3,1
20,NaN,2,115,1,1,1,2,1
21,NaN,2,115,1,0,0,1,1
22,NaN,2,115,1,0,0,1,1
23,NaN,2,115,1,1,1,2,1
24,1331,2,115,2,1,1,3,1
25,620,2,115,2,1,1,3,1
26,NaN,2,115,1,1,1,2,1
27,NaN,2,115,1,0,0,1,1
28,373,2,115,2,1,1,3,1
29,NaN,2,115,1,0,0,1,1
30,NaN,2,115,1,1,1,2,1
31,NaN,2,115,1,0,1,2,1
32,486,2,115,2,1,1,3,1
33,NaN,2,115,1,1,0,1,1
34,NaN,2,115,1,1,0,1,1
35,NaN,2,115,1,1,1,2,1
36,474,2,115,2,1,1,3,1
37,NaN,2,115,1,0,0,3,1
38,NaN,2,115,1,1,1,2,1
39,NaN,2,115,1,0,0,1,1
40,389,2,115,2,0,1,3,1
41,NaN,2,115,1,1,1,2,1
42,NaN,2,115,1,1,0,1,1
43,1168,2,115,2,0,1,3,1
44,536,2,115,2,1,1,1,1
45,NaN,2,115,1,1,1,2,1
46,486,2,115,2,0,1,1,1
47,413,2,115,2,1,1,3,1
48,NaN,2,115,1,1,1,2,1
49,NaN,2,115,1,1,1,2,1
50,NaN,2,115,1,0,0,1,1
51,413,2,115,2,1,1,3,1
52,NaN,2,115,1,0,0,1,1
53,NaN,2,115,1,1,1,2,1
54,868,2,115,2,0,1,3,1
55,1025,2,115,2,0,0,2,1
56,480,2,115,2,1,1,1,1
57,488,2,115,2,1,1,3,1
58,NaN,2,115,1,0,1,2,1
59,449,2,115,2,1,1,3,1
60,NaN,2,115,1,0,0,1,1
61,NaN,2,115,1,0,0,1,1
62,NaN,2,115,1,1,1,2,1
63,580,2,115,2,1,1,3,1
64,556,2,115,2,0,1,3,1
65,1734,2,115,2,1,1,1,1
66,NaN,2,115,1,0,1,2,1
67,NaN,2,115,1,0,0,1,1
68,460,2,115,2,1,1,3,1
69,NaN,2,115,1,1,1,2,1
70,451,2,115,2,1,1,3,1
71,NaN,2,115,1,0,0,1,1
72,NaN,2,115,1,1,1,2,1
73,NaN,2,115,1,0,1,2,1
74,511,2,115,2,1,1,3,1
75,NaN,2,115,1,1,0,1,1
76,489,2,115,2,1,1,3,1
77,NaN,2,115,1,0,0,1,1
78,NaN,2,115,1,1,1,2,1
79,685,2,115,2,1,1,3,1
80,NaN,2,115,1,1,1,2,1
81,NaN,2,115,1,0,0,1,1
82,NaN,2,115,1,1,1,2,1
83,NaN,2,115,1,0,0,1,1
84,437,2,115,2,1,1,3,1
85,NaN,2,115,1,0,1,2,1
86,NaN,2,115,1,0,0,1,1
87,443,2,115,2,1,1,3,1
88,NaN,2,115,1,1,1,2,1
89,NaN,2,115,1,1,0,1,1
90,459,2,115,2,1,1,3,1
91,946,2,115,2,1,1,3,1
92,NaN,2,115,1,0,0,1,1
93,NaN,2,115,1,1,1,2,1
94,NaN,2,115,1,0,0,1,1
95,534,2,115,2,1,1,3,1
96,NaN,2,115,1,1,1,2,1
97,456,2,115,2,1,1,3,1
98,NaN,2,115,1,1,1,2,1
99,NaN,2,115,1,0,0,1,1
100,NaN,2,115,1,0,0,1,1
101,NaN,2,115,1,1,1,2,1
102,1857,2,115,2,1,1,3,1
103,NaN,2,115,1,1,1,2,1
104,534,2,115,2,0,1,3,1
105,NaN,2,115,1,0,0,1,1
106,NaN,2,115,1,1,1,2,1
107,NaN,2,115,1,1,0,1,1
108,409,2,115,2,1,1,3,1
109,NaN,2,115,1,0,0,1,1
110,NaN,2,115,1,0,1,2,1
111,513,2,115,2,1,1,3,1
112,NaN,2,115,1,1,0,1,1
113,599,2,115,2,0,1,3,1
114,451,2,115,2,1,0,2,1
115,601,2,115,2,1,1,3,1
116,NaN,2,115,1,1,1,2,1
117,NaN,2,115,1,1,0,1,1
118,NaN,2,115,1,0,1,2,1
119,NaN,2,115,1,0,0,1,1
120,400,2,115,2,1,1,3,1
1,1064,1,116,2,0,1,1,1
2,405,1,116,2,1,0,2,1
3,NaN,1,116,1,1,NaN,3,1
4,756,1,116,2,0,0,2,1
5,863,1,116,2,1,NaN,3,1
6,1135,1,116,2,0,1,1,1
7,358,1,116,2,0,1,1,1
8,1141,1,116,2,0,0,2,1
9,604,1,116,2,1,NaN,3,1
10,389,1,116,2,1,1,1,1
11,361,1,116,2,0,NaN,3,1
12,NaN,1,116,1,1,1,2,1
13,347,1,116,2,1,0,2,1
14,NaN,1,116,1,1,NaN,3,1
15,300,1,116,2,1,1,1,1
16,269,1,116,2,0,NaN,3,1
17,263,1,116,2,1,0,2,1
18,585,1,116,2,1,1,1,1
19,526,1,116,2,0,0,2,1
20,606,1,116,2,1,1,1,1
21,785,1,116,2,0,NaN,3,1
22,290,1,116,2,0,0,2,1
23,333,1,116,2,0,1,1,1
24,361,1,116,2,1,NaN,3,1
25,408,1,116,2,1,NaN,3,1
26,452,1,116,2,0,0,2,1
27,398,1,116,2,0,1,1,1
28,1372,1,116,2,0,0,2,1
29,524,1,116,2,1,1,1,1
30,378,1,116,2,1,NaN,3,1
31,NaN,1,116,1,1,1,2,1
32,292,1,116,2,0,NaN,3,1
33,849,1,116,2,1,1,1,1
34,531,1,116,2,0,NaN,3,1
35,924,1,116,2,0,0,2,1
36,417,1,116,2,1,1,1,1
37,NaN,1,116,1,1,0,1,1
38,NaN,1,116,1,1,NaN,3,1
39,369,1,116,2,0,0,2,1
40,284,1,116,2,1,NaN,3,1
41,252,1,116,2,0,0,2,1
42,1527,1,116,2,1,1,1,1
43,503,1,116,2,1,0,2,1
44,430,1,116,2,1,1,1,1
45,NaN,1,116,1,0,NaN,3,1
46,769,1,116,2,0,NaN,3,1
47,361,1,116,2,1,1,1,1
48,443,1,116,2,0,0,2,1
