t,rt,cond,sub,a,r,acc,s,block
91,298,1,3,2,1,1,1,1
92,303,1,3,2,0,0,2,1
93,271,1,3,2,0,NaN,3,1
94,243,1,3,2,1,NaN,3,1
95,327,1,3,2,1,1,1,1
96,513,1,3,2,1,0,2,1
97,409,1,3,2,1,0,2,1
98,292,1,3,2,1,NaN,3,1
99,335,1,3,2,1,1,1,1
100,263,1,3,2,0,NaN,3,1
101,287,1,3,2,1,1,1,1
102,350,1,3,2,0,0,2,1
103,290,1,3,2,0,1,1,1
104,291,1,3,2,0,0,2,1
105,300,1,3,2,0,NaN,3,1
106,420,1,3,2,0,NaN,3,1
107,229,1,3,2,1,1,1,1
108,221,1,3,2,0,0,2,1
109,239,1,3,2,0,0,2,1
110,252,1,3,2,1,1,1,1
111,158,1,3,2,1,NaN,3,1
112,251,1,3,2,1,0,2,1
113,251,1,3,2,1,1,1,1
114,207,1,3,2,1,NaN,3,1
115,186,1,3,2,0,NaN,3,1
116,177,1,3,2,1,1,1,1
117,231,1,3,2,0,0,2,1
118,268,1,3,2,0,0,2,1
119,109,1,3,2,0,NaN,3,1
120,252,1,3,2,1,1,1,1
1,1040,2,4,2,1,1,1,1
2,528,2,4,2,1,0,2,1
3,515,2,4,2,0,1,3,1
4,524,2,4,2,1,1,1,1
5,561,2,4,2,0,0,2,1
6,NaN,2,4,1,0,0,3,1
7,NaN,2,4,1,0,0,3,1
8,NaN,2,4,1,1,1,2,1
9,433,2,4,2,1,1,1,1
10,860,2,4,2,0,1,1,1
11,NaN,2,4,1,1,1,2,1
12,659,2,4,2,1,1,3,1
13,650,2,4,2,1,1,1,1
14,NaN,2,4,1,0,0,3,1
15,NaN,2,4,1,1,1,2,1
16,465,2,4,2,1,1,1,1
17,NaN,2,4,1,1,1,2,1
18,503,2,4,2,0,1,3,1
19,NaN,2,4,1,1,1,2,1
20,435,2,4,2,1,1,1,1
21,NaN,2,4,1,0,0,3,1
22,827,2,4,2,1,1,3,1
23,669,2,4,2,0,1,1,1
24,NaN,2,4,1,1,1,2,1
25,457,2,4,2,1,1,1,1
26,NaN,2,4,1,1,1,2,1
27,613,2,4,2,1,1,3,1
28,NaN,2,4,1,1,1,2,1
29,548,2,4,2,1,1,1,1
30,NaN,2,4,1,1,0,3,1
31,NaN,2,4,1,1,1,2,1
32,882,2,4,2,1,1,3,1
33,616,2,4,2,1,1,1,1
34,NaN,2,4,1,1,0,3,1
35,797,2,4,2,0,1,1,1
36,NaN,2,4,1,1,1,2,1
37,NaN,2,4,1,0,0,3,1
38,983,2,4,2,1,1,1,1
39,NaN,2,4,1,1,1,2,1
40,503,2,4,2,1,1,3,1
41,549,2,4,2,1,1,1,1
42,NaN,2,4,1,1,1,2,1
43,NaN,2,4,1,0,1,2,1
44,800,2,4,2,1,1,1,1
45,NaN,2,4,1,0,0,3,1
46,NaN,2,4,1,0,0,1,1
47,NaN,2,4,1,1,1,2,1
48,903,2,4,2,1,1,3,1
49,801,2,4,2,0,1,1,1
50,NaN,2,4,1,0,0,3,1
51,NaN,2,4,1,1,1,2,1
52,718,2,4,2,1,1,3,1
53,635,2,4,2,1,1,1,1
54,NaN,2,4,1,0,1,2,1
55,NaN,2,4,1,0,1,2,1
56,558,2,4,2,1,1,1,1
57,664,2,4,2,1,1,3,1
58,NaN,2,4,1,1,0,3,1
59,NaN,2,4,1,1,1,2,1
60,597,2,4,2,0,1,1,1
61,1046,2,4,2,0,1,1,1
62,1014,2,4,2,1,0,2,1
63,557,2,4,2,0,1,3,1
64,756,2,4,2,0,1,3,1
65,NaN,2,4,1,0,1,2,1
66,907,2,4,2,1,1,1,1
67,571,2,4,2,0,1,1,1
68,865,2,4,2,1,0,2,1
69,795,2,4,2,1,1,3,1
70,672,2,4,2,1,1,1,1
71,635,2,4,2,1,0,2,1
72,548,2,4,2,1,1,3,1
73,NaN,2,4,1,1,0,3,1
74,813,2,4,2,0,0,2,1
75,471,2,4,2,0,1,1,1
76,983,2,4,2,1,1,3,1
77,451,2,4,2,1,1,1,1
78,420,2,4,2,0,0,2,1
79,NaN,2,4,1,0,0,3,1
80,483,2,4,2,1,0,2,1
81,434,2,4,2,1,1,1,1
82,NaN,2,4,1,0,0,3,1
83,354,2,4,2,1,0,2,1
84,506,2,4,2,1,1,1,1
85,502,2,4,2,0,1,3,1
86,602,2,4,2,0,0,2,1
87,453,2,4,2,1,1,1,1
88,642,2,4,2,0,1,3,1
89,782,2,4,2,0,0,2,1
90,519,2,4,2,1,1,1,1
91,NaN,2,4,1,1,1,2,1
92,NaN,2,4,1,1,0,3,1
93,448,2,4,2,1,1,1,1
94,NaN,2,4,1,1,0,3,1
95,606,2,4,2,1,1,1,1
96,NaN,2,4,1,1,1,2,1
97,494,2,4,2,1,1,1,1
98,NaN,2,4,1,0,1,2,1
99,NaN,2,4,1,1,0,3,1
100,1213,2,4,2,1,1,1,1
101,728,2,4,2,0,0,2,1
102,NaN,2,4,1,0,0,3,1
103,770,2,4,2,1,1,3,1
104,500,2,4,2,1,1,1,1
105,NaN,2,4,1,1,1,2,1
106,942,2,4,2,1,1,3,1
107,829,2,4,2,0,0,2,1
108,489,2,4,2,1,1,1,1
109,747,2,4,2,1,1,3,1
110,NaN,2,4,1,1,1,2,1
111,592,2,4,2,0,1,1,1
112,853,2,4,2,1,1,3,1
113,NaN,2,4,1,1,1,2,1
114,NaN,2,4,1,0,0,1,1
115,NaN,2,4,1,1,1,2,1
116,478,2,4,2,1,1,3,1
117,481,2,4,2,1,1,1,1
118,989,2,4,2,0,1,3,1
119,NaN,2,4,1,0,1,2,1
120,446,2,4,2,1,1,1,1
1,NaN,1,5,1,0,1,2,1
2,NaN,1,5,1,1,NaN,3,1
3,NaN,1,5,1,0,0,1,1
4,721,1,5,2,0,NaN,3,1
5,NaN,1,5,1,1,1,2,1
6,NaN,1,5,1,0,0,1,1
7,1467,1,5,2,0,0,2,1
8,NaN,1,5,1,1,NaN,3,1
9,NaN,1,5,1,0,0,1,1
10,1042,1,5,2,1,NaN,3,1
11,NaN,1,5,1,1,0,1,1
12,NaN,1,5,1,1,1,2,1
13,NaN,1,5,1,1,1,2,1
14,572,1,5,2,1,NaN,3,1
15,NaN,1,5,1,0,0,1,1
16,NaN,1,5,1,1,1,2,1
17,NaN,1,5,1,0,0,1,1
18,471,1,5,2,0,NaN,3,1
19,NaN,1,5,1,0,0,1,1
20,NaN,1,5,1,1,NaN,3,1
21,NaN,1,5,1,0,1,2,1
22,NaN,1,5,1,0,NaN,3,1
23,963,1,5,2,1,1,1,1
24,NaN,1,5,1,1,1,2,1
25,NaN,1,5,1,1,1,2,1
26,NaN,1,5,1,0,0,1,1
27,NaN,1,5,1,1,NaN,3,1
28,NaN,1,5,1,1,NaN,3,1
29,NaN,1,5,1,1,1,2,1
30,530,1,5,2,1,1,1,1
31,NaN,1,5,1,1,1,2,1
32,NaN,1,5,1,0,0,1,1
33,NaN,1,5,1,1,NaN,3,1
34,NaN,1,5,1,1,1,2,1
35,NaN,1,5,1,1,NaN,3,1
36,676,1,5,2,1,1,1,1
37,NaN,1,5,1,1,1,2,1
38,754,1,5,2,0,1,1,1
39,NaN,1,5,1,0,NaN,3,1
40,583,1,5,2,1,NaN,3,1
41,NaN,1,5,1,0,0,1,1
42,NaN,1,5,1,0,1,2,1
43,802,1,5,2,0,NaN,3,1
44,NaN,1,5,1,0,0,1,1
45,NaN,1,5,1,1,1,2,1
46,630,1,5,2,1,1,1,1
47,NaN,1,5,1,1,NaN,3,1
48,NaN,1,5,1,1,1,2,1
49,NaN,1,5,1,1,1,2,1
50,NaN,1,5,1,1,0,1,1
51,NaN,1,5,1,1,NaN,3,1
52,NaN,1,5,1,1,1,2,1
53,NaN,1,5,1,1,NaN,3,1
54,NaN,1,5,1,0,0,1,1
55,NaN,1,5,1,1,1,2,1
