sub,t,s,a,acc,r,rt,cond,block
1,228,5,1,1,1,NaN,2,2
1,229,4,2,1,1,638,2,2
1,230,5,1,1,0,NaN,2,2
1,231,6,1,NaN,0,NaN,2,2
1,232,5,1,1,1,NaN,2,2
1,233,6,2,NaN,1,696,2,2
1,234,4,2,1,0,731,2,2
1,235,4,2,1,0,1135,2,2
1,236,5,1,1,1,NaN,2,2
1,237,6,2,NaN,1,655,2,2
1,238,5,1,1,0,NaN,2,2
1,239,6,2,NaN,0,865,2,2
1,240,4,1,0,0,NaN,2,2
2,1,3,2,NaN,0,746,1,1
2,2,1,2,1,1,580,1,1
2,3,2,2,0,1,639,1,1
2,4,2,2,0,1,660,1,1
2,5,1,2,1,1,508,1,1
2,6,3,1,NaN,1,NaN,1,1
2,7,3,2,NaN,1,988,1,1
2,8,1,2,1,1,490,1,1
2,9,2,2,0,1,403,1,1
2,10,3,2,NaN,1,434,1,1
2,11,2,2,0,0,410,1,1
2,12,1,2,1,1,346,1,1
2,13,1,2,1,0,521,1,1
2,14,2,2,0,0,460,1,1
2,15,3,2,NaN,0,409,1,1
2,16,3,2,NaN,1,457,1,1
2,17,2,2,0,0,429,1,1
2,18,1,2,1,1,356,1,1
2,19,3,2,NaN,0,578,1,1
2,20,2,1,1,1,NaN,1,1
2,21,1,2,1,1,352,1,1
2,22,3,2,NaN,0,370,1,1
2,23,2,2,0,0,393,1,1
2,24,1,2,1,0,364,1,1
2,25,3,2,NaN,1,552,1,1
2,26,2,2,0,0,340,1,1
2,27,1,2,1,0,320,1,1
2,28,1,2,1,1,452,1,1
2,29,2,2,0,0,424,1,1
2,30,3,2,NaN,0,460,1,1
2,31,2,2,0,0,442,1,1
2,32,1,2,1,0,511,1,1
2,33,3,1,NaN,0,NaN,1,1
2,34,2,1,1,1,NaN,1,1
2,35,1,1,0,0,NaN,1,1
2,36,3,2,NaN,1,881,1,1
2,37,2,2,0,0,458,1,1
2,38,3,2,NaN,0,774,1,1
2,39,1,2,1,0,424,1,1
2,40,2,2,0,0,394,1,1
2,41,3,2,NaN,0,380,1,1
2,42,1,2,1,1,422,1,1
2,43,3,2,NaN,0,403,1,1
2,44,2,2,0,1,362,1,1
2,45,1,2,1,1,411,1,1
2,46,2,2,0,0,378,1,1
2,47,1,2,1,0,579,1,1
2,48,3,2,NaN,1,345,1,1
2,49,2,2,0,1,382,1,1
2,50,1,2,1,1,382,1,1
2,51,3,1,NaN,1,NaN,1,1
2,52,3,1,NaN,1,NaN,1,1
2,53,2,1,1,1,NaN,1,1
2,54,1,1,0,0,NaN,1,1
2,55,2,1,1,1,NaN,1,1
2,56,1,2,1,0,1052,1,1
2,57,3,1,NaN,1,NaN,1,1
2,58,2,2,0,1,582,1,1
2,59,3,2,NaN,1,671,1,1
2,60,1,2,1,1,404,1,1
2,61,3,1,NaN,1,NaN,1,1
2,62,1,2,1,0,979,1,1
2,63,2,1,1,1,NaN,1,1
2,64,2,1,1,1,NaN,1,1
2,65,1,2,1,1,360,1,1
2,66,3,1,NaN,1,NaN,1,1
2,67,3,1,NaN,1,NaN,1,1
2,68,2,2,0,1,616,1,1
2,69,1,1,0,0,NaN,1,1
2,70,1,2,1,1,414,1,1
2,71,3,2,NaN,0,379,1,1
2,72,2,2,0,1,765,1,1
2,73,2,2,0,0,1116,1,1
2,74,3,2,NaN,1,941,1,1
